m,n,sigma,index,heuristic,beam_width,length
2,50,2,4,h2,100,37
2,50,2,4,h5,100,37
2,50,2,4,h8,100,37
2,50,2,5,h2,100,36
2,50,2,5,h5,100,36
2,50,2,5,h8,100,36
2,50,2,6,h2,100,38
2,50,2,6,h5,100,38
2,50,2,6,h8,100,38
2,50,2,7,h2,100,38
2,50,2,7,h5,100,38
2,50,2,7,h8,100,38
2,50,2,8,h2,100,20
2,50,2,8,h5,100,20
2,50,2,8,h8,100,20
2,50,2,9,h2,100,38
2,50,2,9,h5,100,38
2,50,2,9,h8,100,37
3,100,2,0,h2,100,37
3,100,2,0,h5,100,37
3,100,2,0,h8,100,37
3,100,2,1,h2,100,32
3,100,2,1,h5,100,32
3,100,2,1,h8,100,42
3,100,2,2,h2,100,27
3,100,2,2,h5,100,27
3,100,2,2,h8,100,27
3,100,2,3,h2,100,42
3,100,2,3,h5,100,42
3,100,2,3,h8,100,33
3,100,2,4,h2,100,48
3,100,2,4,h5,100,48
3,100,2,4,h8,100,47
3,100,2,5,h2,100,30
3,100,2,5,h5,100,30
3,100,2,5,h8,100,35
3,100,2,6,h2,100,57
3,100,2,6,h5,100,57
3,100,2,6,h8,100,53
3,100,2,7,h2,100,35
3,100,2,7,h5,100,35
3,100,2,7,h8,100,24
